IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_SEX,DIM_AGE,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_NUMERIC_LOWER,VALUE_NUMERIC_UPPER,VALUE_COMMENTS,DIM_PUBLISH_STATE_CODE
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,28,Antigua and Barbuda,1975,YEAR,Male,18 plus years,RATE_PER_100,2.3,0.8,5.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,36,Australia,1975,YEAR,Male,18 plus years,RATE_PER_100,9.7,6.2,13.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,56,Belgium,1975,YEAR,Total,18 plus years,RATE_PER_100,10.5,7.8,13.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,84,Belize,1975,YEAR,Total,18 plus years,RATE_PER_100,8.8,5.4,13.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,84,Belize,1975,YEAR,Female,18 plus years,RATE_PER_100,13.4,7.3,21.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,84,Belize,1975,YEAR,Male,18 plus years,RATE_PER_100,3.9,1.6,8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,76,Brazil,1975,YEAR,Male,18 plus years,RATE_PER_100,3,1.4,5.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,204,Benin,1975,YEAR,Male,18 plus years,RATE_PER_100,0.3,0.1,0.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,50,Bangladesh,1975,YEAR,Female,18 plus years,RATE_PER_100,0.4,0.1,0.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,50,Bangladesh,1975,YEAR,Male,18 plus years,RATE_PER_100,0.1,0,0.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,48,Bahrain,1975,YEAR,Total,18 plus years,RATE_PER_100,14.2,9.8,19.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,44,Bahamas,1975,YEAR,Total,18 plus years,RATE_PER_100,12,7.6,17.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,44,Bahamas,1975,YEAR,Male,18 plus years,RATE_PER_100,5.7,2.3,10.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,112,Belarus,1975,YEAR,Total,18 plus years,RATE_PER_100,9.9,5.6,15.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,68,Bolivia (Plurinational State of),1975,YEAR,Female,18 plus years,RATE_PER_100,7.3,3.1,13.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,52,Barbados,1975,YEAR,Female,18 plus years,RATE_PER_100,11.5,6.3,18.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,72,Botswana,1975,YEAR,Female,18 plus years,RATE_PER_100,4.6,1.7,9.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,140,Central African Republic,1975,YEAR,Female,18 plus years,RATE_PER_100,1.9,0.6,4.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,124,Canada,1975,YEAR,Female,18 plus years,RATE_PER_100,10.8,7,15.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,140,Central African Republic,1975,YEAR,Total,18 plus years,RATE_PER_100,1.2,0.5,2.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,124,Canada,1975,YEAR,Male,18 plus years,RATE_PER_100,8.8,5.3,13.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,756,Switzerland,1975,YEAR,Male,18 plus years,RATE_PER_100,4.7,2.5,7.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,156,China,1975,YEAR,Male,18 plus years,RATE_PER_100,0.2,0.1,0.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,76,Brazil,1975,YEAR,Female,18 plus years,RATE_PER_100,7.3,4,12,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,96,Brunei Darussalam,1975,YEAR,Male,18 plus years,RATE_PER_100,1.4,0.4,3.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,64,Bhutan,1975,YEAR,Male,18 plus years,RATE_PER_100,0.2,0,0.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,72,Botswana,1975,YEAR,Total,18 plus years,RATE_PER_100,2.8,1.1,5.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,140,Central African Republic,1975,YEAR,Male,18 plus years,RATE_PER_100,0.4,0.1,1.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,124,Canada,1975,YEAR,Total,18 plus years,RATE_PER_100,9.8,7.2,13,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,756,Switzerland,1975,YEAR,Female,18 plus years,RATE_PER_100,5.3,2.8,8.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,152,Chile,1975,YEAR,Female,18 plus years,RATE_PER_100,14.2,8.4,21.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,152,Chile,1975,YEAR,Total,18 plus years,RATE_PER_100,11.2,7.5,15.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,156,China,1975,YEAR,Total,18 plus years,RATE_PER_100,0.5,0.2,0.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,120,Cameroon,1975,YEAR,Female,18 plus years,RATE_PER_100,2.2,0.8,4.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,170,Colombia,1975,YEAR,Female,18 plus years,RATE_PER_100,9.6,5,15.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,170,Colombia,1975,YEAR,Male,18 plus years,RATE_PER_100,3.3,1.3,6.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,188,Costa Rica,1975,YEAR,Female,18 plus years,RATE_PER_100,7.7,3.6,13.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,188,Costa Rica,1975,YEAR,Male,18 plus years,RATE_PER_100,2.8,1,6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,192,Cuba,1975,YEAR,Total,18 plus years,RATE_PER_100,7.8,4.8,11.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,120,Cameroon,1975,YEAR,Total,18 plus years,RATE_PER_100,1.3,0.6,2.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,120,Cameroon,1975,YEAR,Male,18 plus years,RATE_PER_100,0.4,0.1,1.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,180,Democratic Republic of the Congo,1975,YEAR,Total,18 plus years,RATE_PER_100,0.9,0.3,1.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,180,Democratic Republic of the Congo,1975,YEAR,Female,18 plus years,RATE_PER_100,1.4,0.4,3.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,178,Congo,1975,YEAR,Total,18 plus years,RATE_PER_100,1.5,0.7,2.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,174,Comoros,1975,YEAR,Male,18 plus years,RATE_PER_100,0.4,0.1,1.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,192,Cuba,1975,YEAR,Female,18 plus years,RATE_PER_100,12.1,6.8,18.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,192,Cuba,1975,YEAR,Male,18 plus years,RATE_PER_100,3.5,1.4,6.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,196,Cyprus,1975,YEAR,Male,18 plus years,RATE_PER_100,4.1,1.6,8.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,276,Germany,1975,YEAR,Total,18 plus years,RATE_PER_100,9,6.7,11.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,276,Germany,1975,YEAR,Female,18 plus years,RATE_PER_100,9.8,6.6,13.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,262,Djibouti,1975,YEAR,Male,18 plus years,RATE_PER_100,1.5,0.4,4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,212,Dominica,1975,YEAR,Female,18 plus years,RATE_PER_100,10.3,5.3,17.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,208,Denmark,1975,YEAR,Male,18 plus years,RATE_PER_100,6.3,3.9,9.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,214,Dominican Republic,1975,YEAR,Male,18 plus years,RATE_PER_100,2.5,0.9,5.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,12,Algeria,1975,YEAR,Female,18 plus years,RATE_PER_100,10.7,5.5,18,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,12,Algeria,1975,YEAR,Male,18 plus years,RATE_PER_100,2.8,1,6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,218,Ecuador,1975,YEAR,Female,18 plus years,RATE_PER_100,7.5,3.1,14.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,218,Ecuador,1975,YEAR,Male,18 plus years,RATE_PER_100,2.4,0.7,5.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,957,Eastern Mediterranean,1975,YEAR,Total,18 plus years,RATE_PER_100,5.7,4,7.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,180,Democratic Republic of the Congo,1975,YEAR,Male,18 plus years,RATE_PER_100,0.3,0.1,0.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,132,Cabo Verde,1975,YEAR,Total,18 plus years,RATE_PER_100,1.1,0.4,2.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,132,Cabo Verde,1975,YEAR,Female,18 plus years,RATE_PER_100,1.8,0.6,3.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,262,Djibouti,1975,YEAR,Total,18 plus years,RATE_PER_100,4,2,7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,196,Cyprus,1975,YEAR,Female,18 plus years,RATE_PER_100,6.9,3.1,12.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,212,Dominica,1975,YEAR,Male,18 plus years,RATE_PER_100,2.6,0.9,5.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,208,Denmark,1975,YEAR,Female,18 plus years,RATE_PER_100,7.9,4.8,12.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,214,Dominican Republic,1975,YEAR,Total,18 plus years,RATE_PER_100,5.8,3.4,8.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,262,Djibouti,1975,YEAR,Female,18 plus years,RATE_PER_100,6.4,2.7,11.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,212,Dominica,1975,YEAR,Total,18 plus years,RATE_PER_100,6.6,3.7,10.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,208,Denmark,1975,YEAR,Total,18 plus years,RATE_PER_100,7.2,5.1,9.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,724,Spain,1975,YEAR,Total,18 plus years,RATE_PER_100,9.7,7,13.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,214,Dominican Republic,1975,YEAR,Female,18 plus years,RATE_PER_100,9.3,5,15.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,218,Ecuador,1975,YEAR,Total,18 plus years,RATE_PER_100,5,2.5,8.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,818,Egypt,1975,YEAR,Male,18 plus years,RATE_PER_100,5.5,2.5,9.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,957,Eastern Mediterranean,1975,YEAR,Male,18 plus years,RATE_PER_100,2.6,1.5,4.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,956,Europe,1975,YEAR,Female,18 plus years,RATE_PER_100,12.8,9.9,16.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,246,Finland,1975,YEAR,Total,18 plus years,RATE_PER_100,6.9,5,9.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,242,Fiji,1975,YEAR,Male,18 plus years,RATE_PER_100,5.8,2.1,12,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,583,Micronesia (Federated States of),1975,YEAR,Female,18 plus years,RATE_PER_100,24.6,15.3,35.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,266,Gabon,1975,YEAR,Female,18 plus years,RATE_PER_100,2.9,1,6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,266,Gabon,1975,YEAR,Male,18 plus years,RATE_PER_100,0.5,0.1,1.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,826,United Kingdom of Great Britain and Northern Ireland,1975,YEAR,Total,18 plus years,RATE_PER_100,9.4,7,12.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,268,Georgia,1975,YEAR,Male,18 plus years,RATE_PER_100,4.3,1.7,9.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,724,Spain,1975,YEAR,Female,18 plus years,RATE_PER_100,11.5,7.3,16.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,231,Ethiopia,1975,YEAR,Total,18 plus years,RATE_PER_100,0.5,0.2,1.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,956,Europe,1975,YEAR,Total,18 plus years,RATE_PER_100,9.9,8.2,11.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,242,Fiji,1975,YEAR,Female,18 plus years,RATE_PER_100,13.3,6.4,22.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,250,France,1975,YEAR,Male,18 plus years,RATE_PER_100,6.7,3.6,11,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,268,Georgia,1975,YEAR,Total,18 plus years,RATE_PER_100,6.5,3.5,10.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,268,Georgia,1975,YEAR,Female,18 plus years,RATE_PER_100,8,3.6,14.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,288,Ghana,1975,YEAR,Total,18 plus years,RATE_PER_100,1.5,0.7,2.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,324,Guinea,1975,YEAR,Total,18 plus years,RATE_PER_100,0.9,0.4,1.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,1,World,1975,YEAR,Male,18 plus years,RATE_PER_100,2.9,2.2,3.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,624,Guinea-Bissau,1975,YEAR,Female,18 plus years,RATE_PER_100,1.5,0.5,3.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,226,Equatorial Guinea,1975,YEAR,Female,18 plus years,RATE_PER_100,2.1,0.7,4.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,300,Greece,1975,YEAR,Female,18 plus years,RATE_PER_100,12.6,7.3,19.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,308,Grenada,1975,YEAR,Total,18 plus years,RATE_PER_100,5.9,3.2,9.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,308,Grenada,1975,YEAR,Female,18 plus years,RATE_PER_100,8.8,4.2,15.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,308,Grenada,1975,YEAR,Male,18 plus years,RATE_PER_100,2.2,0.7,5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,4,Afghanistan,1975,YEAR,Total,18 plus years,RATE_PER_100,0.5,0.2,1.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,953,Africa,1975,YEAR,Male,18 plus years,RATE_PER_100,0.6,0.3,1.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,320,Guatemala,1975,YEAR,Total,18 plus years,RATE_PER_100,5.1,2.7,8.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,340,Honduras,1975,YEAR,Total,18 plus years,RATE_PER_100,4.3,2.2,7.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,191,Croatia,1975,YEAR,Total,18 plus years,RATE_PER_100,9.2,5.7,13.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,191,Croatia,1975,YEAR,Female,18 plus years,RATE_PER_100,11.5,6.1,19.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,332,Haiti,1975,YEAR,Female,18 plus years,RATE_PER_100,4.7,1.9,9.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,332,Haiti,1975,YEAR,Male,18 plus years,RATE_PER_100,1.5,0.4,3.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,348,Hungary,1975,YEAR,Total,18 plus years,RATE_PER_100,12.6,8.7,17.5,,PUBLISHED
