IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_AMR_GLASS_AWARE,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_COMMENTS,DIM_PUBLISH_STATE_CODE
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,724,Spain,2016,YEAR,RESERVE,RATE_PER_100,0.4419,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,724,Spain,2017,YEAR,RESERVE,RATE_PER_100,0.471,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,724,Spain,2018,YEAR,RESERVE,RATE_PER_100,0.502,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,724,Spain,2019,YEAR,RESERVE,RATE_PER_100,0.5932,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,724,Spain,2020,YEAR,RESERVE,RATE_PER_100,0.8106,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,724,Spain,2021,YEAR,RESERVE,RATE_PER_100,0.8229,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,233,Estonia,2016,YEAR,RESERVE,RATE_PER_100,0.0824,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,233,Estonia,2017,YEAR,RESERVE,RATE_PER_100,0.1253,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,233,Estonia,2018,YEAR,RESERVE,RATE_PER_100,0.1397,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,233,Estonia,2019,YEAR,RESERVE,RATE_PER_100,0.1757,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,233,Estonia,2020,YEAR,RESERVE,RATE_PER_100,0.187,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,233,Estonia,2021,YEAR,RESERVE,RATE_PER_100,0.2165,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,231,Ethiopia,2017,YEAR,RESERVE,RATE_PER_100,0,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,231,Ethiopia,2018,YEAR,RESERVE,RATE_PER_100,0.0412,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,231,Ethiopia,2019,YEAR,RESERVE,RATE_PER_100,0,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,246,Finland,2016,YEAR,RESERVE,RATE_PER_100,0.0926,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,246,Finland,2017,YEAR,RESERVE,RATE_PER_100,0.095,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,246,Finland,2018,YEAR,RESERVE,RATE_PER_100,0.1168,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,246,Finland,2019,YEAR,RESERVE,RATE_PER_100,0.1173,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,246,Finland,2020,YEAR,RESERVE,RATE_PER_100,0.1421,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,246,Finland,2021,YEAR,RESERVE,RATE_PER_100,0.1453,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,250,France,2016,YEAR,RESERVE,RATE_PER_100,0.171,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,250,France,2017,YEAR,RESERVE,RATE_PER_100,0.1659,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,250,France,2018,YEAR,RESERVE,RATE_PER_100,0.2334,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,250,France,2019,YEAR,RESERVE,RATE_PER_100,0.2829,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,250,France,2020,YEAR,RESERVE,RATE_PER_100,0.3939,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,250,France,2021,YEAR,RESERVE,RATE_PER_100,0.3865,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,266,Gabon,2020,YEAR,RESERVE,RATE_PER_100,0,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,266,Gabon,2021,YEAR,RESERVE,RATE_PER_100,0.4597,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,826,United Kingdom of Great Britain and Northern Ireland,2016,YEAR,RESERVE,RATE_PER_100,0.3368,Only consumption in the public sector reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,826,United Kingdom of Great Britain and Northern Ireland,2017,YEAR,RESERVE,RATE_PER_100,0.3726,Only consumption in the public sector reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,826,United Kingdom of Great Britain and Northern Ireland,2018,YEAR,RESERVE,RATE_PER_100,0.4015,Only consumption in the public sector reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,826,United Kingdom of Great Britain and Northern Ireland,2019,YEAR,RESERVE,RATE_PER_100,0.4168,Only consumption in the public sector reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,826,United Kingdom of Great Britain and Northern Ireland,2020,YEAR,RESERVE,RATE_PER_100,0.4474,Only consumption in the public sector reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,826,United Kingdom of Great Britain and Northern Ireland,2021,YEAR,RESERVE,RATE_PER_100,0.4384,Only consumption in the public sector reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,268,Georgia,2016,YEAR,RESERVE,RATE_PER_100,5.0128,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,268,Georgia,2017,YEAR,RESERVE,RATE_PER_100,0.1802,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,268,Georgia,2018,YEAR,RESERVE,RATE_PER_100,0.0288,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,268,Georgia,2019,YEAR,RESERVE,RATE_PER_100,0.0485,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,268,Georgia,2020,YEAR,RESERVE,RATE_PER_100,0.2196,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,191,Croatia,2016,YEAR,RESERVE,RATE_PER_100,0.0856,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,191,Croatia,2017,YEAR,RESERVE,RATE_PER_100,0.1272,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,191,Croatia,2018,YEAR,RESERVE,RATE_PER_100,0.1375,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,191,Croatia,2019,YEAR,RESERVE,RATE_PER_100,0.1749,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,191,Croatia,2020,YEAR,RESERVE,RATE_PER_100,0.2474,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,191,Croatia,2021,YEAR,RESERVE,RATE_PER_100,0.3642,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,348,Hungary,2016,YEAR,RESERVE,RATE_PER_100,0.0566,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,348,Hungary,2017,YEAR,RESERVE,RATE_PER_100,0.0604,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,348,Hungary,2018,YEAR,RESERVE,RATE_PER_100,0.0619,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,348,Hungary,2019,YEAR,RESERVE,RATE_PER_100,0.0666,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,348,Hungary,2020,YEAR,RESERVE,RATE_PER_100,0.1053,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,348,Hungary,2021,YEAR,RESERVE,RATE_PER_100,0.1299,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,372,Ireland,2016,YEAR,RESERVE,RATE_PER_100,0.2944,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,372,Ireland,2017,YEAR,RESERVE,RATE_PER_100,0.31,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,372,Ireland,2018,YEAR,RESERVE,RATE_PER_100,0.3358,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,372,Ireland,2019,YEAR,RESERVE,RATE_PER_100,0.4138,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,372,Ireland,2020,YEAR,RESERVE,RATE_PER_100,0.5202,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,372,Ireland,2021,YEAR,RESERVE,RATE_PER_100,0.5188,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,364,Iran (Islamic Republic of),2020,YEAR,RESERVE,RATE_PER_100,0.0723,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,364,Iran (Islamic Republic of),2021,YEAR,RESERVE,RATE_PER_100,0.0512,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,352,Iceland,2016,YEAR,RESERVE,RATE_PER_100,0.0268,Only consumption in the community reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,352,Iceland,2017,YEAR,RESERVE,RATE_PER_100,0.1032,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,352,Iceland,2018,YEAR,RESERVE,RATE_PER_100,0.0801,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,352,Iceland,2019,YEAR,RESERVE,RATE_PER_100,0.0555,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,352,Iceland,2020,YEAR,RESERVE,RATE_PER_100,0.0824,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,352,Iceland,2021,YEAR,RESERVE,RATE_PER_100,0.0721,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,380,Italy,2016,YEAR,RESERVE,RATE_PER_100,0.2121,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,380,Italy,2017,YEAR,RESERVE,RATE_PER_100,0.3059,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,380,Italy,2018,YEAR,RESERVE,RATE_PER_100,0.3094,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,380,Italy,2019,YEAR,RESERVE,RATE_PER_100,0.3335,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,380,Italy,2020,YEAR,RESERVE,RATE_PER_100,0.4289,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,380,Italy,2021,YEAR,RESERVE,RATE_PER_100,0.4683,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,400,Jordan,2017,YEAR,RESERVE,RATE_PER_100,0.0166,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,400,Jordan,2018,YEAR,RESERVE,RATE_PER_100,0.0182,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,400,Jordan,2019,YEAR,RESERVE,RATE_PER_100,0.0355,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,400,Jordan,2020,YEAR,RESERVE,RATE_PER_100,0.0299,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,400,Jordan,2021,YEAR,RESERVE,RATE_PER_100,0.0411,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,404,Kenya,2018,YEAR,RESERVE,RATE_PER_100,0.0058,Data incomplete since not collected from all sources of data,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,404,Kenya,2019,YEAR,RESERVE,RATE_PER_100,0.0093,Data incomplete since not collected from all sources of data,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,404,Kenya,2020,YEAR,RESERVE,RATE_PER_100,0.0402,Data incomplete since not collected from all sources of data,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,404,Kenya,2021,YEAR,RESERVE,RATE_PER_100,0.033,Data incomplete since not collected from all sources of data,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,418,Lao People's Democratic Republic,2019,YEAR,RESERVE,RATE_PER_100,0,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,418,Lao People's Democratic Republic,2020,YEAR,RESERVE,RATE_PER_100,0,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,418,Lao People's Democratic Republic,2021,YEAR,RESERVE,RATE_PER_100,0,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,440,Lithuania,2016,YEAR,RESERVE,RATE_PER_100,0.2335,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,440,Lithuania,2017,YEAR,RESERVE,RATE_PER_100,0.252,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,440,Lithuania,2018,YEAR,RESERVE,RATE_PER_100,0.3645,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,440,Lithuania,2019,YEAR,RESERVE,RATE_PER_100,0.4384,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,440,Lithuania,2020,YEAR,RESERVE,RATE_PER_100,0.7007,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,440,Lithuania,2021,YEAR,RESERVE,RATE_PER_100,0.159,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,428,Latvia,2016,YEAR,RESERVE,RATE_PER_100,0.1055,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,428,Latvia,2017,YEAR,RESERVE,RATE_PER_100,0.1191,,PUBLISHED
